country,age,sex,suicides_no
Albania,15-24 years,male,21
Albania,35-54 years,male,16
Albania,15-24 years,female,14
Albania,75+ years,male,1
Albania,25-34 years,male,9
Albania,75+ years,female,1
Albania,35-54 years,female,6
Albania,25-34 years,female,4
Albania,55-74 years,male,1
Albania,5-14 years,female,0
Albania,55-74 years,female,0
Albania,5-14 years,male,0
Albania,75+ years,female,2
Albania,15-24 years,male,17
Albania,75+ years,male,1
Albania,35-54 years,male,14
Albania,55-74 years,male,4
Albania,15-24 years,female,8
Albania,55-74 years,female,3
Albania,25-34 years,female,5
Albania,25-34 years,male,5
Albania,35-54 years,female,4
Albania,5-14 years,female,0
Albania,5-14 years,male,0
Albania,75+ years,male,2
Albania,25-34 years,male,18
Albania,35-54 years,male,15
Albania,55-74 years,male,6
Albania,15-24 years,male,12
Albania,35-54 years,female,7
Albania,15-24 years,female,5
Albania,25-34 years,female,2
Albania,55-74 years,female,1
Albania,5-14 years,female,0
Albania,75+ years,female,0
Albania,5-14 years,male,0
Albania,35-54 years,male,12
Albania,15-24 years,male,9
Albania,55-74 years,male,5
Albania,25-34 years,male,7
Albania,15-24 years,female,7
Albania,25-34 years,female,4
Albania,35-54 years,female,2
Albania,55-74 years,female,1
Albania,5-14 years,female,0
Albania,75+ years,female,0
Albania,5-14 years,male,0
Albania,75+ years,male,0
Albania,15-24 years,male,18
Albania,55-74 years,male,7
Albania,75+ years,male,1
Albania,25-34 years,male,9
Albania,15-24 years,female,10
Albania,35-54 years,male,10
Albania,25-34 years,female,7
Albania,35-54 years,female,7
Albania,55-74 years,female,2
Albania,5-14 years,female,1
Albania,5-14 years,male,1
Albania,75+ years,female,0
Albania,75+ years,male,2
Albania,55-74 years,male,11
Albania,75+ years,female,2
Albania,25-34 years,male,6
Albania,35-54 years,male,9
Albania,15-24 years,male,6
Albania,15-24 years,female,6
Albania,25-34 years,female,4
Albania,35-54 years,female,2
Albania,55-74 years,female,1
Albania,5-14 years,male,1
Albania,5-14 years,female,0
Albania,25-34 years,male,13
Albania,55-74 years,male,9
Albania,75+ years,female,2
Albania,15-24 years,female,13
Albania,15-24 years,male,11
Albania,75+ years,male,1
Albania,35-54 years,male,14
Albania,25-34 years,female,7
Albania,35-54 years,female,8
Albania,5-14 years,male,6
Albania,55-74 years,female,2
Albania,5-14 years,female,2
Albania,75+ years,male,2
Albania,15-24 years,male,17
Albania,25-34 years,male,14
Albania,15-24 years,female,16
Albania,75+ years,female,2
Albania,25-34 years,female,10
Albania,35-54 years,male,12
Albania,35-54 years,female,9
Albania,55-74 years,male,3
Albania,55-74 years,female,1
Albania,5-14 years,male,2
Albania,5-14 years,female,1
Albania,25-34 years,male,36
Albania,15-24 years,male,33
Albania,75+ years,male,3
Albania,35-54 years,male,30
Albania,15-24 years,female,21
Albania,55-74 years,male,12
Albania,25-34 years,female,16
Albania,75+ years,female,2
Albania,35-54 years,female,7
Albania,5-14 years,female,6
Albania,5-14 years,male,4
Albania,55-74 years,female,0
Albania,75+ years,male,3
Albania,15-24 years,male,27
Albania,15-24 years,female,32
Albania,25-34 years,male,26
Albania,35-54 years,male,29
Albania,55-74 years,male,9
Albania,25-34 years,female,10
Albania,55-74 years,female,6
Albania,35-54 years,female,9
Albania,5-14 years,male,2
Albania,5-14 years,female,1
Albania,75+ years,female,0
Albania,75+ years,male,3
Albania,15-24 years,male,24
Albania,75+ years,female,4
Albania,35-54 years,male,31
Albania,25-34 years,male,19
Albania,55-74 years,male,14
Albania,15-24 years,female,19
Albania,25-34 years,female,13
Albania,55-74 years,female,6
Albania,35-54 years,female,5
Albania,5-14 years,female,1
Albania,5-14 years,male,0
Albania,25-34 years,male,17
Albania,55-74 years,male,10
Albania,75+ years,female,2
Albania,75+ years,male,1
Albania,15-24 years,female,6
Albania,15-24 years,male,5
Albania,35-54 years,female,5
Albania,25-34 years,female,3
Albania,35-54 years,male,4
Albania,5-14 years,male,1
Albania,5-14 years,female,0
Albania,55-74 years,female,0
Albania,25-34 years,male,22
Albania,35-54 years,male,34
Albania,55-74 years,male,11
Albania,75+ years,female,2
Albania,15-24 years,male,10
Albania,15-24 years,female,9
Albania,35-54 years,female,12
Albania,75+ years,male,1
Albania,55-74 years,female,6
Albania,5-14 years,male,6
Albania,25-34 years,female,4
Albania,5-14 years,female,2
Albania,75+ years,male,4
Albania,25-34 years,male,23
Albania,35-54 years,male,35
Albania,55-74 years,male,13
Albania,15-24 years,male,15
Albania,15-24 years,female,14
Albania,35-54 years,female,15
Albania,25-34 years,female,7
Albania,75+ years,female,1
Albania,55-74 years,female,4
Albania,5-14 years,female,1
Albania,5-14 years,male,1
Albania,75+ years,female,6
Albania,55-74 years,male,16
Albania,35-54 years,male,28
Albania,15-24 years,male,15
Albania,15-24 years,female,14
Albania,55-74 years,female,9
Albania,25-34 years,male,9
Albania,25-34 years,female,9
Albania,35-54 years,female,13
Albania,75+ years,male,1
Albania,5-14 years,male,4
Albania,5-14 years,female,0
Albania,75+ years,male,4
Albania,35-54 years,male,39
Albania,25-34 years,male,16
Albania,15-24 years,female,20
Albania,15-24 years,male,19
Albania,75+ years,female,3
Albania,25-34 years,female,11
Albania,55-74 years,male,10
Albania,35-54 years,female,17
Albania,55-74 years,female,3
Albania,5-14 years,female,3
Albania,5-14 years,male,1
Albania,15-24 years,female,0
Albania,25-34 years,female,0
Albania,35-54 years,female,0
Albania,5-14 years,female,0
Albania,55-74 years,female,0
Albania,75+ years,female,0
Albania,15-24 years,male,0
Albania,25-34 years,male,0
Albania,35-54 years,male,0
Albania,5-14 years,male,0
Albania,55-74 years,male,0
Albania,75+ years,male,0
Albania,15-24 years,female,0
Albania,25-34 years,female,0
Albania,35-54 years,female,0
Albania,5-14 years,female,0
Albania,55-74 years,female,0
Albania,75+ years,female,0
Albania,15-24 years,male,0
Albania,25-34 years,male,0
Albania,35-54 years,male,0
Albania,5-14 years,male,0
Albania,55-74 years,male,0
Albania,75+ years,male,0
Albania,75+ years,male,8
Albania,35-54 years,male,29
Albania,55-74 years,male,14
Albania,75+ years,female,3
Albania,25-34 years,male,9
Albania,15-24 years,female,13
Albania,15-24 years,male,13
Albania,25-34 years,female,8
Albania,55-74 years,female,9
Albania,35-54 years,female,14
Albania,5-14 years,male,4
Albania,5-14 years,female,0
Albania,25-34 years,male,21
